
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-6-12,33,28,23,23,22,19,97,77,49,1021,1019,1016,14,11,5,21,6,,0.51,3,Rain,232<br />
2000-6-13,32,27,21,23,21,19,100,77,51,1017,1016,1014,16,13,8,34,6,42,0.00,2,,239<br />
2000-6-14,32,27,21,24,22,20,100,87,53,1015,1013,1010,16,11,1,34,10,69,8.64,4,Rain,211<br />
2000-6-15,28,24,21,21,20,18,96,82,60,1012,1010,1008,16,13,1,27,18,37,10.67,5,Rain,220<br />
2000-6-16,31,25,20,24,22,19,100,88,65,1015,1011,1009,16,11,1,29,19,60,32.26,6,Fog-Rain-Thunderstorm,216<br />
2000-6-17,24,22,20,21,21,19,100,93,83,1019,1017,1014,16,14,2,16,8,,14.48,6,Rain,197<br />
2000-6-18,23,21,19,22,20,17,100,92,78,1021,1019,1016,16,10,0,24,10,32,28.19,8,Fog-Rain-Thunderstorm,325<br />
2000-6-19,26,21,16,17,16,14,96,76,50,1023,1022,1020,16,14,1,16,6,,0.00,2,,59<br />
2000-6-20,30,21,14,24,18,14,100,88,67,1022,1019,1013,16,8,1,16,5,,0.51,4,Fog,154<br />
2000-6-21,28,24,20,22,20,18,94,77,56,1013,1011,1010,16,16,6,27,19,34,2.29,4,Rain-Thunderstorm,231<br />
2000-6-22,31,24,19,19,18,16,94,70,44,1014,1013,1012,16,15,13,32,14,40,0.00,2,,231<br />
2000-6-23,31,24,17,22,18,15,100,72,40,1017,1016,1014,16,15,10,19,3,,0.00,1,Fog,220<br />
2000-6-24,32,24,20,22,20,18,100,73,53,1016,1013,1011,16,14,6,21,8,,0.00,4,,206<br />
2000-6-25,30,25,21,22,20,18,93,77,54,1016,1014,1012,16,15,5,32,16,45,4.83,5,Rain,259<br />
2000-6-26,31,24,18,24,21,18,100,85,61,1016,1015,1013,16,10,0,23,5,29,0.25,3,Fog,230<br />
2000-6-27,23,21,18,22,18,14,100,83,68,1020,1017,1016,16,15,8,19,8,,0.51,6,Rain,216<br />
2000-6-28,27,20,15,17,15,12,100,77,46,1019,1017,1014,16,12,2,13,3,,0.25,2,Fog,351<br />
2000-6-29,27,20,14,16,13,10,97,69,40,1015,1014,1013,16,16,14,23,5,29,0.00,3,Fog,303<br />
2000-6-30,27,19,13,16,13,11,100,69,39,1019,1017,1015,16,16,11,13,3,,0.00,1,Fog,87<br />
2000-7-1,28,20,12,17,14,12,100,72,38,1020,1018,1017,16,13,3,11,3,,0.00,0,,132<br />
2000-7-2,31,23,16,20,18,15,100,76,51,1018,1017,1015,16,11,2,24,5,,0.25,2,Fog,207<br />
2000-7-3,29,24,21,25,21,18,91,81,71,1016,1015,1013,16,14,11,24,10,,0.51,4,,212<br />
2000-7-4,32,26,21,24,23,21,100,87,61,1016,1015,1012,14,7,0,32,5,39,2.03,5,Fog-Rain,238<br />
2000-7-5,27,24,21,23,22,21,100,94,71,1014,1014,1013,16,7,1,21,6,,22.35,7,Rain-Thunderstorm,170<br />
2000-7-6,29,23,18,22,21,18,100,83,65,1015,1013,1012,16,9,2,16,5,,0.25,3,,76<br />
2000-7-7,27,22,17,17,16,13,90,67,50,1022,1019,1015,16,16,16,21,13,,0.00,1,,62<br />
2000-7-8,28,20,13,18,16,13,100,73,42,1024,1021,1018,16,16,13,11,3,,0.00,0,,189<br />
2000-7-9,32,23,16,22,19,16,100,80,57,1019,1016,1012,16,7,3,27,8,47,0.00,1,,233<br />
