
BRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-3-29,32,28,25,25,24,23,94,80,66,1013,1012,1010,10,10,8,19,5,,0.00,6,,78<br />
2005-3-30,31,28,26,26,24,24,89,79,70,1013,1012,1010,10,9,4,21,11,,0.00,5,Rain,97<br />
2005-3-31,32,29,27,27,24,23,84,78,66,1013,1012,1010,10,10,8,23,10,,0.00,4,Rain,123<br />
2005-4-1,32,29,27,25,24,24,84,75,62,1014,1012,1011,10,10,10,14,11,,0.00,3,,137<br />
2005-4-2,30,28,27,26,24,24,94,81,74,1014,1013,1012,10,9,2,23,8,,0.00,4,Rain,147<br />
2005-4-3,32,28,25,26,24,24,94,81,66,1016,1014,1012,10,9,1,21,10,,0.00,4,Rain,157<br />
2005-4-4,33,29,26,25,24,23,84,72,59,1016,1014,1013,10,10,10,26,14,,0.00,4,,122<br />
2005-4-5,32,29,27,26,24,23,79,73,62,1016,1014,1013,10,10,8,34,16,,0.00,3,,135<br />
2005-4-6,32,29,27,25,24,23,84,74,62,1016,1014,1012,10,10,9,23,18,,0.00,4,,135<br />
2005-4-7,32,29,27,26,24,22,84,76,66,1014,1013,1012,10,10,8,34,19,,0.00,4,,145<br />
2005-4-8,32,29,26,24,23,22,83,71,62,1014,1012,1011,10,10,8,29,21,,0.00,3,,153<br />
2005-4-9,31,29,27,25,24,23,84,76,66,1013,1012,1011,10,10,6,24,16,,0.00,5,Rain,179<br />
2005-4-10,32,28,25,25,24,22,94,75,66,1013,1011,1010,10,10,4,24,10,,0.00,4,Rain,134<br />
2005-4-11,31,28,25,26,24,21,94,75,66,1012,1011,1009,10,10,9,19,14,,0.00,3,,146<br />
2005-4-12,32,29,27,25,24,23,84,74,62,1013,1012,1010,10,10,4,23,10,,0.00,3,Rain,129<br />
2005-4-13,33,29,26,25,24,22,79,72,63,1014,1012,1010,10,10,10,19,14,,0.00,4,,126<br />
2005-4-14,32,29,27,25,25,24,89,76,66,1014,1012,1010,10,10,6,23,14,,0.00,4,Rain,119<br />
2005-4-15,32,29,27,25,24,23,84,76,66,1015,1013,1011,10,10,4,23,16,55,0.00,3,Rain,120<br />
2005-4-16,31,29,27,25,24,23,89,77,62,1015,1013,1012,10,10,10,19,13,,0.00,6,,107<br />
2005-4-17,32,29,26,25,24,23,94,75,62,1014,1013,1012,10,10,10,23,11,,0.00,4,,132<br />
2005-4-18,31,28,26,25,24,23,94,75,66,1013,1012,1010,10,9,5,23,13,,0.00,6,Rain,146<br />
2005-4-19,32,28,25,25,24,23,100,78,66,1013,1012,1011,10,10,9,21,13,,0.00,4,,122<br />
2005-4-20,31,29,27,25,24,23,79,75,66,1014,1013,1011,10,10,5,24,14,,0.00,4,Rain,124<br />
2005-4-21,32,29,27,25,24,23,84,75,62,1015,1013,1011,10,10,10,23,18,,0.00,5,,138<br />
2005-4-22,32,29,27,24,23,22,84,71,58,1014,1012,1010,10,10,10,21,14,,0.00,5,,123<br />
2005-4-23,32,29,26,25,23,22,83,73,62,1013,1012,1010,10,10,10,23,11,,0.00,3,,149<br />
2005-4-24,32,29,26,24,24,21,89,74,55,1014,1012,1010,10,10,10,29,11,,0.00,3,Rain,149<br />
2005-4-25,32,29,27,25,24,23,79,75,62,1014,1012,1010,10,10,10,24,13,,0.00,3,,164<br />
2005-4-26,32,29,27,26,24,23,84,75,66,1014,1012,1010,10,10,10,16,10,,0.00,3,,108<br />
2005-4-27,33,29,26,26,24,22,84,74,62,1014,1012,1010,10,10,10,21,8,,0.00,3,,57<br />
2005-4-28,32,28,25,26,24,23,94,82,66,1015,1013,1012,10,9,4,21,11,,0.00,4,Rain,90<br />
2005-4-29,32,29,27,25,24,23,89,76,66,1016,1014,1013,10,10,4,19,13,,0.00,3,Rain,122<br />
2005-4-30,32,29,27,25,24,23,84,73,66,1015,1014,1012,10,10,10,19,13,,0.00,4,,138<br />
2005-5-1,32,29,26,25,24,23,83,73,62,1015,1013,1011,10,10,10,14,8,,0.00,3,,116<br />
2005-5-2,32,29,26,25,23,22,84,73,62,1015,1013,1012,10,10,10,16,10,,0.00,3,,125<br />
2005-5-3,32,29,26,25,24,23,89,76,62,1016,1014,1013,10,10,10,19,10,,0.00,3,,134<br />
2005-5-4,31,28,26,25,23,22,89,77,66,1016,1015,1013,10,10,9,14,8,,0.00,5,,178<br />
2005-5-5,29,27,25,24,23,22,89,80,66,1016,1015,1013,10,10,9,21,11,,0.00,5,,203<br />
2005-5-6,32,28,25,25,24,23,94,80,62,1016,1014,1013,10,9,3,23,14,47,0.00,3,Rain,192<br />
2005-5-7,31,28,25,26,25,23,100,85,74,1015,1014,1013,10,9,5,26,10,,0.00,4,Rain,183<br />
2005-5-8,32,29,26,24,23,22,84,73,58,1015,1013,1012,10,10,10,21,16,,0.00,4,,144<br />
2005-5-9,31,28,26,26,24,22,94,81,66,1015,1014,1013,10,9,1,29,8,,0.00,4,Rain,202<br />
2005-5-10,31,28,25,25,24,23,94,82,70,1015,1014,1012,10,9,3,29,11,,0.00,4,Rain,160<br />
2005-5-11,29,27,25,26,24,23,94,86,79,1015,1013,1012,10,9,3,34,19,,0.00,5,Rain,154<br />
2005-5-12,28,27,25,26,24,24,100,92,84,1016,1014,1012,10,9,2,21,14,,0.00,6,Rain,206<br />
2005-5-13,31,27,24,26,24,23,100,89,70,1014,1013,1011,10,8,3,26,11,,0.00,5,Rain,156<br />
2005-5-14,30,28,25,26,24,23,94,84,70,1014,1012,1011,10,9,3,26,18,,0.00,5,Rain,137<br />
2005-5-15,30,28,25,26,23,23,94,83,66,1013,1012,1010,10,9,3,34,18,50,0.00,5,Rain,146<br />
2005-5-16,28,27,25,25,24,23,94,89,79,1013,1012,1010,10,8,1,29,11,,0.00,6,Rain,176<br />
2005-5-17,31,28,25,24,24,23,94,84,62,1012,1011,1009,10,8,3,27,13,,0.00,6,Rain,178<br />
2005-5-18,31,27,24,25,24,23,100,84,66,1012,1010,1009,10,9,5,26,11,,0.00,3,Rain,187<br />
2005-5-19,30,27,24,25,24,22,100,86,62,1013,1011,1009,10,9,4,23,13,,0.00,4,Rain,180<br />
2005-5-20,30,27,24,25,24,23,100,86,70,1014,1012,1011,10,9,3,23,10,,0.00,4,Rain,192<br />
2005-5-21,29,27,25,25,24,23,94,84,74,1014,1012,1011,10,10,8,19,8,,0.00,5,,191<br />
2005-5-22,30,27,24,25,24,23,100,84,70,1014,1012,1011,10,9,5,19,10,,0.00,5,Rain,193<br />
2005-5-23,30,27,23,25,24,23,100,90,70,1015,1012,1011,10,8,1,14,6,,0.00,5,Rain-Thunderstorm,354<br />
2005-5-24,30,27,24,25,24,23,100,86,70,1015,1013,1012,10,10,6,19,6,,0.00,4,Rain,169<br />
2005-5-25,29,27,24,25,24,23,94,85,70,1016,1014,1012,10,10,10,14,6,,0.00,5,,64<br />
2005-5-26,30,27,24,26,24,23,100,86,74,1017,1015,1013,10,10,4,21,8,,0.00,3,Rain,153<br />
2005-5-27,30,28,25,25,24,23,94,81,70,1016,1015,1014,10,10,5,34,14,,0.00,4,Rain,162<br />
2005-5-28,30,28,25,26,23,22,94,80,70,1016,1014,1013,10,9,4,35,18,,0.00,3,Rain,151<br />
2005-5-29,29,27,24,25,23,22,100,85,66,1015,1014,1013,10,7,2,37,23,47,0.00,5,Rain,167<br />
2005-5-30,29,27,24,25,23,23,94,84,74,1016,1014,1013,10,8,4,26,14,,0.00,5,Rain,131<br />
2005-5-31,30,28,25,25,24,23,94,85,74,1015,1014,1012,10,9,4,37,16,,0.00,4,Rain,146<br />
2005-6-1,30,27,24,25,24,23,100,89,70,1016,1014,1012,10,6,1,34,21,,0.00,6,Rain,145<br />
2005-6-2,27,26,24,25,24,23,100,93,79,1015,1013,1012,10,5,1,34,14,,0.00,7,Rain,122<br />
2005-6-3,29,27,24,24,23,22,89,77,70,1015,1014,1012,10,10,8,26,19,,0.00,5,,161<br />
2005-6-4,30,27,24,25,23,22,94,81,70,1015,1014,1013,10,9,5,29,13,,0.00,5,Rain,163<br />
2005-6-5,29,27,25,25,23,22,94,82,70,1016,1014,1013,10,9,3,37,21,,0.00,6,Rain,150<br />
2005-6-6,29,27,24,23,22,21,94,75,70,1015,1014,1012,10,10,8,26,19,,0.00,5,,166<br />
2005-6-7,29,27,24,25,23,21,100,85,70,1015,1013,1012,10,8,3,34,18,,0.00,6,Rain,159<br />
2005-6-8,29,27,24,25,24,23,100,89,74,1016,1014,1013,10,8,3,34,16,,0.00,6,Rain,170<br />
2005-6-9,29,27,25,24,23,22,89,80,70,1017,1015,1013,10,9,8,29,21,,0.00,5,Rain,168<br />
2005-6-10,29,26,23,24,23,22,100,90,74,1016,1015,1013,10,9,4,29,14,,0.00,5,Rain,200<br />
2005-6-11,29,26,23,25,23,22,100,85,74,1016,1014,1013,10,10,8,24,14,,0.00,6,,176<br />
2005-6-12,29,27,24,24,23,23,94,80,70,1016,1014,1013,10,10,8,29,16,,0.00,6,,156<br />
2005-6-13,28,26,24,26,24,23,100,88,79,1015,1014,1013,10,9,1,19,11,,0.00,6,Rain,141<br />
2005-6-14,26,24,24,25,24,23,100,96,89,1017,1015,1013,10,6,2,23,10,,0.00,6,Rain,133<br />
2005-6-15,29,27,24,25,23,22,100,85,74,1018,1016,1014,10,9,4,21,13,,0.00,4,Rain,188<br />
2005-6-16,29,26,23,25,23,22,100,85,70,1016,1015,1013,10,10,10,21,10,,0.00,3,,183<br />
2005-6-17,30,27,24,26,24,24,100,89,70,1016,1014,1013,10,8,4,21,10,,0.00,6,Rain,186<br />
2005-6-18,26,24,23,24,23,21,100,95,88,1017,1015,1013,10,6,1,11,8,,0.00,7,Rain,356<br />
2005-6-19,30,26,22,25,23,22,100,86,66,1017,1015,1013,10,9,5,14,5,,0.00,5,,171<br />
2005-6-20,30,28,26,25,24,24,94,84,74,1017,1015,1014,10,10,8,14,11,,0.00,5,,131<br />
2005-6-21,30,27,24,25,24,23,100,83,70,1017,1015,1014,10,10,8,16,8,,0.00,4,,148<br />
2005-6-22,29,27,24,24,23,22,100,81,74,1017,1015,1014,10,10,10,26,16,,0.00,3,,172<br />
2005-6-23,27,26,24,25,23,22,94,85,74,1017,1016,1014,10,8,4,26,18,,0.00,6,Rain,171<br />
2005-6-24,26,24,23,25,23,22,100,92,83,1016,1015,1014,10,9,4,27,13,,0.00,6,Rain,196<br />
2005-6-25,28,26,23,24,23,23,100,88,74,1016,1015,1013,10,10,8,23,8,,0.00,5,,218<br />
2005-6-26,29,26,23,24,23,22,100,84,66,1016,1015,1014,10,10,8,23,13,,0.00,3,Rain,198<br />
2005-6-27,28,26,23,25,23,23,100,90,74,1016,1015,1013,10,9,2,27,11,,0.00,5,Rain,169<br />
2005-6-28,29,27,24,25,23,22,100,82,70,1017,1016,1015,10,8,3,29,18,,0.00,5,Rain,152<br />
2005-6-29,28,27,25,23,22,21,89,76,66,1017,1016,1014,10,10,8,34,24,,0.00,4,,151<br />
2005-6-30,29,27,24,24,23,21,100,81,70,1017,1015,1014,10,9,5,26,19,,0.00,4,Rain,154<br />
2005-7-1,27,24,23,24,23,22,100,93,83,1017,1015,1014,10,7,1,26,13,,0.00,6,Rain,211<br />
2005-7-2,28,26,23,24,22,21,94,85,74,1018,1016,1015,10,9,3,23,11,,0.00,5,Rain,186<br />
2005-7-3,29,27,24,25,24,23,94,85,74,1018,1016,1015,10,9,5,27,18,,0.00,5,Rain,151<br />
2005-7-4,30,27,23,24,23,22,94,80,66,1017,1016,1014,10,10,5,26,16,,0.00,3,Rain,165<br />
2005-7-5,30,27,23,24,22,21,89,79,66,1018,1016,1014,10,10,10,19,8,,0.00,2,,189<br />
2005-7-6,30,27,23,25,23,22,94,82,70,1018,1017,1015,10,10,10,23,8,,0.00,3,,174<br />
2005-7-7,30,27,24,25,24,23,94,88,74,1018,1017,1015,10,9,4,39,13,,0.00,5,Rain,168<br />
2005-7-8,30,27,24,26,23,22,94,84,74,1018,1017,1016,10,10,5,27,21,,0.00,3,Rain,171<br />
2005-7-9,29,27,24,25,23,22,94,87,74,1018,1017,1016,10,9,5,34,11,,0.00,6,Rain,189<br />
2005-7-10,30,27,24,23,23,22,94,82,66,1018,1016,1014,10,10,8,23,16,,0.00,4,,188<br />
2005-7-11,30,27,23,25,23,22,100,86,70,1018,1016,1015,10,9,5,29,24,,0.00,4,Rain,149<br />
2005-7-12,30,27,24,24,22,22,89,81,62,1018,1017,1015,10,10,5,23,14,,0.00,4,Rain,179<br />
2005-7-13,29,26,23,26,23,22,94,86,74,1018,1016,1015,10,9,4,34,13,,0.00,5,Rain,186<br />
2005-7-14,30,27,23,24,22,21,94,81,62,1017,1015,1014,10,10,5,23,13,,0.00,5,Rain,188<br />
2005-7-15,30,27,24,24,22,21,89,77,62,1018,1017,1015,10,10,10,27,21,,0.00,3,,155<br />
2005-7-16,30,27,24,23,22,21,83,73,58,1018,1016,1015,10,10,10,26,19,,0.00,2,,151<br />
2005-7-17,30,27,24,23,22,22,89,78,62,1018,1016,1015,10,10,10,23,14,,0.00,3,,166<br />
2005-7-18,27,24,22,25,23,21,94,91,79,1017,1016,1014,10,7,3,14,11,,0.00,6,Rain,226<br />
2005-7-19,30,26,22,25,23,21,94,84,74,1017,1015,1014,10,10,8,24,6,,0.00,4,,114<br />
2005-7-20,30,27,24,25,23,22,94,79,66,1017,1015,1014,10,10,8,27,19,,0.00,4,,151<br />
2005-7-21,30,27,24,23,23,21,89,77,62,1018,1016,1014,10,10,10,24,19,,0.00,2,,157<br />
2005-7-22,29,26,23,24,22,22,94,84,70,1018,1017,1015,10,10,3,24,14,,0.00,5,Rain,170<br />
2005-7-23,30,27,24,23,22,21,89,76,62,1018,1016,1015,10,10,10,23,14,,0.00,3,,181<br />
2005-7-24,30,27,24,23,23,22,89,78,66,1019,1017,1016,10,10,10,26,16,,0.00,3,,191<br />
2005-7-25,30,27,23,23,22,21,89,76,62,1019,1018,1016,10,10,10,23,18,,0.00,4,,166<br />
2005-7-26,30,27,23,23,22,13,94,77,50,1020,1019,1017,10,9,8,26,16,,0.00,4,,185<br />
2005-7-27,29,26,23,22,22,21,89,77,66,1020,1018,1017,10,10,8,26,16,,0.00,3,,179<br />
2005-7-28,28,26,23,23,22,21,94,84,70,1021,1019,1017,10,10,8,27,13,,0.00,6,,199<br />
2005-7-29,28,24,22,22,21,19,94,78,61,1019,1018,1017,10,10,8,26,13,,0.00,3,,199<br />
