
PYST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-4-3,27,24,22,24,23,22,100,92,79,1013,1012,1010,19,10,0,14,6,,6.10,6,Rain-Thunderstorm,122<br />
2013-4-4,26,23,20,25,22,19,100,96,88,1011,1008,1006,19,9,0,108,13,55,18.03,7,Rain-Thunderstorm,351<br />
2013-4-5,27,22,18,20,19,18,100,84,52,1013,1010,1008,19,11,3,14,6,,0.51,3,Rain,170<br />
2013-4-6,26,22,18,22,19,17,100,84,66,1012,1010,1009,19,13,8,29,6,,0.25,6,Rain,96<br />
2013-4-7,27,23,20,23,21,20,94,84,69,1015,1012,1010,19,12,10,26,8,,0.00,6,,138<br />
2013-4-8,29,25,21,22,19,16,83,71,53,1016,1014,1012,19,13,10,29,14,,0.00,5,,158<br />
2013-4-9,30,24,19,21,18,16,83,69,40,1015,1013,1010,19,13,9,29,14,,0.00,2,,129<br />
2013-4-10,31,26,21,24,21,17,94,77,56,1012,1010,1007,19,14,10,23,11,,0.00,2,Thunderstorm,74<br />
2013-4-11,32,27,21,25,22,21,89,71,53,1009,1006,1003,19,12,10,37,18,47,0.00,4,Thunderstorm,38<br />
2013-4-12,29,24,19,24,21,16,100,89,70,1014,1009,1004,19,10,1,40,24,60,7.11,4,Rain-Thunderstorm,157<br />
2013-4-13,22,19,15,17,14,12,88,74,51,1019,1017,1014,19,12,10,37,23,47,0.00,6,,174<br />
2013-4-14,25,18,12,19,11,8,88,64,26,1020,1018,1017,19,19,19,19,11,,0.00,,,137<br />
2013-4-15,27,19,10,14,11,8,94,68,24,1020,1018,1016,19,12,6,13,3,,0.00,,,113<br />
2013-4-16,27,20,13,16,14,11,94,68,32,1019,1017,1015,19,11,6,16,3,,0.00,1,,152<br />
2013-4-17,26,19,12,15,12,7,94,62,24,1019,1017,1015,19,14,5,23,8,,0.00,,,139<br />
2013-4-18,27,19,12,16,13,10,88,66,29,1019,1016,1015,19,13,8,14,5,,0.00,,,86<br />
2013-4-19,28,21,13,17,15,11,88,69,39,1019,1017,1015,19,9,3,21,3,,0.00,,,65<br />
2013-4-20,29,22,15,18,16,14,100,74,40,1020,1017,1015,10,9,7,11,3,,0.00,,,88<br />
2013-4-21,29,22,16,19,17,14,94,72,38,1019,1017,1016,19,14,8,19,8,,0.00,1,,95<br />
2013-4-22,28,22,16,18,17,15,94,70,40,1020,1018,1016,19,13,6,34,8,,0.00,,,70<br />
2013-4-23,29,23,17,19,17,15,88,68,41,1020,1018,1016,19,12,5,34,11,,0.00,2,,65<br />
2013-4-24,29,22,16,17,15,12,94,64,25,1020,1018,1015,19,18,8,34,6,,0.00,,,59<br />
2013-4-25,30,22,14,18,15,13,88,64,29,1017,1015,1014,19,12,5,23,5,,0.00,1,,44<br />
2013-4-26,31,24,19,20,18,16,83,66,42,1016,1014,1011,19,17,10,23,8,,0.00,1,,48<br />
2013-4-27,32,27,21,21,19,18,83,66,40,1014,1012,1010,19,15,10,29,14,,0.00,2,,48<br />
2013-4-28,33,28,23,23,21,19,83,66,40,1014,1012,1009,19,14,10,27,14,,0.00,3,Thunderstorm,35<br />
2013-4-29,30,26,22,22,21,19,83,71,58,1014,1012,1010,19,11,10,34,19,37,0.00,5,Thunderstorm,56<br />
2013-4-30,33,27,21,23,20,18,88,68,38,1014,1012,1010,19,10,5,23,8,,0.00,5,Thunderstorm,69<br />
2013-5-1,33,28,23,22,19,18,83,64,38,1014,1011,1009,19,18,9,27,16,37,0.00,,,48<br />
2013-5-2,33,28,23,21,19,18,73,60,41,1013,1010,1008,19,16,10,29,18,37,0.00,2,,31<br />
2013-5-3,34,29,23,22,20,19,74,60,35,1011,1009,1006,19,14,9,37,19,55,0.00,4,Thunderstorm,16<br />
2013-5-4,28,24,19,23,20,1,100,93,28,1016,1012,1009,19,9,0,27,18,,22.10,5,Rain-Thunderstorm,132<br />
2013-5-5,24,20,16,19,17,14,100,80,55,1020,1017,1014,19,13,10,40,19,47,0.00,5,Thunderstorm,170<br />
2013-5-6,24,19,13,15,13,9,100,74,31,1020,1018,1016,19,12,5,14,5,,0.00,,,99<br />
