
MMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-2-13,36,26,20,21,18,16,75,50,28,1011,1009,1007,8,7,6,2,0,,0.00,,,-1<br />
2013-2-14,34,26,19,21,18,17,66,54,33,1011,1010,1007,6,6,6,2,0,,0.00,,,-1<br />
2013-2-15,36,26,18,19,17,16,78,52,28,1012,1010,1008,8,7,6,2,0,,0.00,,,-1<br />
2013-2-16,37,26,18,19,18,16,74,47,34,1010,1008,1005,6,6,6,2,0,,0.00,,,-1<br />
2013-2-17,37,27,21,21,18,17,74,46,29,1009,1007,1004,8,7,6,3,2,,0.00,,,-1<br />
2013-2-18,32,26,24,19,18,16,59,48,35,1010,1008,1007,8,7,5,2,2,,0.00,,Rain,-1<br />
2013-2-19,34,28,21,21,19,18,94,74,41,1011,1009,1007,8,7,6,2,0,,0.00,,,-1<br />
2013-2-20,35,26,18,19,18,16,74,52,29,1011,1009,1007,8,6,5,2,0,,0.00,,,-1<br />
2013-2-21,35,24,18,18,17,16,78,53,30,1012,1009,1008,8,6,5,2,0,,0.00,,,-1<br />
2013-2-22,36,26,19,19,18,17,76,53,34,1013,1011,1009,8,7,6,2,0,,0.00,,,-1<br />
2013-2-23,36,25,18,20,18,16,78,51,34,1013,1012,1010,8,7,6,0,0,,0.00,,,-1<br />
2013-2-24,37,27,19,19,17,15,65,47,30,1013,1011,1009,6,6,6,2,0,,0.00,,,-1<br />
2013-2-25,37,27,20,20,18,17,69,43,24,1012,1010,1008,6,6,5,2,0,,0.00,,,-1<br />
2013-2-26,37,26,20,21,18,14,75,49,24,1012,1010,1008,6,6,5,2,0,,0.00,,,-1<br />
2013-2-27,33,22,19,21,17,16,74,56,28,1012,1011,1010,6,6,5,2,0,,0.00,,,-1<br />
2013-2-28,39,21,18,20,18,14,68,55,31,1008,1006,1004,8,6,5,0,0,,0.00,,,-1<br />
2013-3-1,37,27,19,18,18,15,68,47,30,1009,1008,1006,6,6,6,2,0,,0.00,,,-1<br />
2013-3-2,39,28,20,20,18,16,65,46,31,1012,1010,1008,8,6,2,2,0,,0.00,,,-1<br />
2013-3-3,39,24,24,22,21,21,73,53,33,1010,1009,1007,8,6,5,0,0,,0.00,,,-1<br />
2013-3-4,39,30,23,24,23,19,68,49,39,1012,1010,1007,8,7,6,3,2,,0.00,,,-1<br />
2013-3-5,39,,36,24,24,24,40,40,40,1009,1009,1009,8,8,8,0,0,,0.00,,,-1<br />
2013-3-6,39,30,21,22,21,18,69,48,29,1012,1010,1008,8,7,5,3,0,,0.00,,,-1<br />
2013-3-7,39,28,21,20,19,17,66,44,31,1013,1011,1008,8,7,6,2,0,,0.00,,,-1<br />
2013-3-8,37,29,21,21,19,18,68,46,24,1011,1010,1007,6,6,6,3,0,,0.00,,,-1<br />
2013-3-9,37,27,20,16,16,15,65,40,22,1010,1008,1006,8,6,5,2,0,,0.00,,,-1<br />
2013-3-10,36,28,22,19,18,16,57,40,28,1009,1008,1006,6,6,6,2,0,,0.00,,,-1<br />
2013-3-11,37,28,22,18,17,16,58,41,25,1010,1008,1005,6,6,5,3,0,,0.00,,,-1<br />
2013-3-12,37,29,24,19,18,17,59,42,27,1010,1009,1006,6,6,5,3,0,,0.00,,,-1<br />
2013-3-13,34,20,20,16,16,15,68,45,22,1012,1012,1011,6,6,6,2,0,,0.00,,,-1<br />
2013-3-14,39,35,35,22,19,16,34,28,22,1012,1009,1007,8,7,6,2,2,,0.00,,,-1<br />
2013-3-15,38,29,23,19,18,16,56,41,28,1013,1011,1009,6,6,5,3,0,,0.00,,,-1<br />
2013-3-16,41,29,21,19,18,17,66,39,23,1013,1011,1008,8,8,6,3,2,,0.00,,,-1<br />
2013-3-17,39,29,22,19,17,16,58,40,21,1011,1009,1005,10,7,5,2,0,,0.00,,,-1<br />
2013-3-18,38,29,22,21,18,16,59,43,29,1007,1006,1002,8,7,5,3,0,,0.00,8,,-1<br />
2013-3-19,36,29,23,19,17,17,68,41,25,1009,1008,1007,8,8,6,6,2,,0.00,,,-1<br />
2013-3-20,37,27,19,17,16,15,65,43,25,1011,1009,1007,8,7,6,2,0,,0.00,,,-1<br />
2013-3-21,37,27,20,17,16,15,65,42,22,1009,1008,1004,6,6,6,2,0,,0.00,,,-1<br />
2013-3-22,38,29,22,20,18,16,59,38,24,1008,1006,1004,6,6,6,3,2,,0.00,,,-1<br />
2013-3-23,37,27,23,18,18,18,68,45,30,1011,1008,1007,8,6,5,2,0,,0.00,,,-1<br />
2013-3-24,39,23,21,22,19,17,65,53,33,1010,1008,1004,8,6,5,0,0,,0.00,,,-1<br />
2013-3-25,39,29,21,19,18,17,66,39,24,1007,1005,1002,8,7,6,2,0,,0.00,,,-1<br />
2013-3-26,40,31,24,21,19,18,59,44,23,1007,1004,1002,8,7,6,3,0,,0.00,,,-1<br />
2013-3-27,40,31,24,21,19,18,59,42,22,1007,1005,1003,8,6,3,2,0,,0.00,,,-1<br />
2013-3-28,39,29,23,21,19,18,68,44,27,1008,1006,1003,8,6,5,2,0,,0.00,,,-1<br />
2013-3-29,41,31,24,22,21,19,70,45,25,1007,1005,1002,6,6,6,2,0,,0.00,,,-1<br />
2013-3-30,41,32,26,23,22,21,62,45,30,1006,1004,1002,6,6,5,2,0,,0.00,,,-1<br />
2013-3-31,41,31,25,24,22,21,69,49,31,1008,1005,1003,6,6,6,2,0,,0.00,,,-1<br />
2013-4-1,38,31,26,22,22,22,79,57,33,1008,1007,1004,6,6,5,2,0,,0.00,,,-1<br />
2013-4-2,39,30,24,21,19,16,69,43,21,1009,1007,1005,8,6,5,2,0,,0.00,,,-1<br />
2013-4-3,40,31,24,21,21,20,69,45,27,1007,1006,1002,8,6,5,2,0,,0.00,,,-1<br />
2013-4-4,41,32,25,22,19,18,61,40,20,1004,1002,999,8,7,5,2,0,,0.00,,,-1<br />
2013-4-5,38,30,24,22,21,18,59,43,33,1004,1003,1003,8,7,6,2,0,,0.00,,,-1<br />
2013-4-6,39,26,24,22,20,17,70,50,33,1006,1004,1001,8,8,6,2,0,,0.00,,,-1<br />
2013-4-7,40,29,23,23,19,16,50,39,29,1006,1003,1000,8,7,6,2,0,,0.00,,,-1<br />
2013-4-8,40,30,23,21,19,18,68,48,26,1006,1004,1002,8,6,5,2,0,,0.00,,,-1<br />
2013-4-9,40,31,25,24,21,18,61,45,34,1007,1005,1003,6,6,6,3,0,,0.00,,,-1<br />
2013-4-10,42,33,27,21,20,19,55,38,24,1007,1005,1002,8,6,5,6,2,,0.00,,,-1<br />
2013-4-11,41,34,29,22,21,21,55,37,27,1007,1005,1002,8,7,6,3,2,,0.00,,,-1<br />
2013-4-12,31,31,28,22,21,19,54,48,42,1007,1007,1006,6,6,5,2,2,,0.00,8,,-1<br />
2013-4-13,41,29,28,21,19,18,46,36,19,1008,1007,1007,6,6,5,3,2,,0.00,,,-1<br />
2013-4-14,42,33,29,22,22,21,48,35,25,1008,1006,1002,8,7,6,2,0,,0.00,,,-1<br />
2013-4-15,39,29,25,21,21,20,48,37,24,1005,1004,1004,6,6,6,3,2,,0.00,,,-1<br />
2013-4-16,37,27,24,23,21,21,70,60,55,1007,1006,1004,8,6,5,2,0,,0.00,,,-1<br />
2013-4-17,38,29,23,22,21,18,79,52,27,1006,1005,1001,8,8,6,2,0,,0.00,,,-1<br />
2013-4-18,39,31,25,22,21,19,69,48,28,1006,1004,1002,8,8,6,3,0,,0.00,,,-1<br />
2013-4-19,40,31,24,21,19,17,70,43,21,1007,1005,1003,8,8,6,2,0,,0.00,,,-1<br />
2013-4-20,42,32,25,21,21,21,63,42,24,1007,1005,1002,8,8,6,2,0,,0.00,,,-1<br />
2013-4-21,41,35,32,22,21,21,41,33,26,1008,1006,1003,8,8,6,3,3,,0.00,,,-1<br />
2013-4-22,42,28,25,24,22,21,66,57,45,1008,1006,1005,8,7,6,3,2,,0.00,,,-1<br />
2013-4-23,38,30,24,29,26,24,93,70,42,1009,1007,1005,8,7,6,2,0,,0.00,,,-1<br />
2013-4-24,41,32,26,24,23,22,71,48,31,1009,1007,1003,8,7,6,3,0,,0.00,,,-1<br />
2013-4-25,41,32,27,24,23,22,61,46,35,1009,1006,1004,8,7,6,3,0,,0.00,,,-1<br />
2013-4-26,41,33,29,27,24,22,63,48,29,1008,1006,1003,8,7,6,3,2,,0.00,,,-1<br />
2013-4-27,41,34,30,23,22,21,50,39,28,1007,1004,1001,8,7,6,3,2,,0.00,,,-1<br />
2013-4-28,31,27,22,24,23,22,89,64,44,1008,1005,1003,8,8,6,6,2,,0.00,8,Rain,-1<br />
2013-4-29,40,30,24,26,24,23,87,63,41,1007,1005,1002,8,7,6,3,0,,0.00,,,-1<br />
2013-4-30,41,32,27,24,18,5,68,38,19,1006,1004,1002,8,7,6,3,0,,0.00,,,-1<br />
2013-5-1,42,34,30,26,24,23,56,44,35,1004,1002,998,8,7,6,3,2,,0.00,,,-1<br />
2013-5-2,40,32,27,24,23,23,68,53,34,1003,1002,999,8,6,5,6,5,,0.00,,Rain,-1<br />
2013-5-3,38,31,25,24,22,17,58,37,4,1003,1003,1003,8,7,5,6,3,,0.00,,,-1<br />
2013-5-4,32,26,23,22,21,21,79,65,48,1011,1007,1006,8,7,5,2,0,,0.00,,,-1<br />
2013-5-5,36,29,24,22,21,21,78,56,36,1010,1008,1007,8,7,5,2,0,,0.00,,,-1<br />
2013-5-6,33,27,23,22,21,21,79,58,43,1011,1009,1006,8,8,8,2,0,,0.00,,,-1<br />
2013-5-7,34,27,23,26,23,21,75,64,51,1008,1007,1005,8,7,5,2,0,,0.00,,,-1<br />
2013-5-8,38,31,25,26,23,22,100,66,33,1007,1006,1004,10,8,5,3,2,,0.00,8,,-1<br />
2013-5-9,36,29,24,24,23,22,91,79,46,1007,1005,1002,8,7,5,3,2,,0.00,,,-1<br />
2013-5-10,34,27,22,26,23,22,89,73,57,1008,1005,1003,8,7,5,2,0,,0.00,,,-1<br />
2013-5-11,37,31,26,25,24,23,77,59,41,1006,1004,1001,8,7,5,2,0,,0.00,,,-1<br />
2013-5-12,39,28,27,25,23,22,70,58,33,1006,1004,1001,8,7,5,6,2,,0.00,,,-1<br />
2013-5-13,39,31,26,24,24,23,78,58,39,1006,1005,1001,8,7,5,2,2,,0.00,,,-1<br />
2013-5-14,36,31,28,25,23,22,73,60,48,1005,1005,1004,8,7,5,3,3,,0.00,,,-1<br />
2013-5-15,31,28,26,26,25,24,92,81,65,1005,1004,1003,8,7,5,3,2,,0.00,8,Rain,-1<br />
2013-5-16,34,28,24,25,25,24,98,77,59,1004,1003,1000,8,6,5,3,2,,0.00,8,Rain-Thunderstorm,-1<br />
2013-5-17,29,29,27,24,23,23,70,68,65,1004,1004,1003,8,6,5,3,3,,0.00,,,-1<br />
2013-5-18,37,31,28,27,24,24,96,62,44,1007,1005,1002,8,8,6,3,2,,0.00,,,-1<br />
2013-5-19,37,32,29,27,26,25,71,58,45,1005,1004,1000,8,7,5,2,0,,0.00,,,-1<br />
2013-5-20,38,31,28,24,24,23,71,54,43,1005,1004,1001,8,7,6,3,2,,0.00,,,-1<br />
2013-5-21,38,31,27,24,24,23,78,56,41,1005,1003,1000,8,8,6,3,3,,0.00,,,-1<br />
2013-5-22,37,31,28,26,24,23,77,57,39,1005,1003,1000,8,8,6,3,2,,0.00,,,-1<br />
2013-5-23,36,31,27,24,23,22,63,50,40,1005,1003,1001,8,8,6,6,3,,0.00,,,-1<br />
2013-5-24,35,30,27,27,24,23,62,58,52,1005,1003,1001,10,8,6,8,3,,0.00,,,-1<br />
2013-5-25,34,29,26,27,23,21,98,69,41,1004,1003,1001,8,8,6,3,2,,0.00,8,,-1<br />
2013-5-26,33,28,26,27,25,24,93,80,59,1006,1004,1003,8,8,6,2,2,,0.00,8,,-1<br />
2013-5-27,35,28,25,26,24,24,89,70,46,1006,1004,1002,11,8,6,2,0,,0.00,,Rain,-1<br />
2013-5-28,36,31,27,24,23,22,70,53,37,1006,1004,1002,10,8,6,3,3,,0.00,,,-1<br />
2013-5-29,36,31,27,24,23,23,68,51,42,1006,1004,1001,8,8,8,2,2,,0.00,,,-1<br />
2013-5-30,37,30,26,24,23,23,70,53,42,1007,1006,1004,10,8,6,8,3,,0.00,,,-1<br />
2013-5-31,36,26,24,24,23,22,88,66,40,1008,1006,1004,8,8,6,2,2,,0.00,,,-1<br />
2013-6-1,36,30,26,24,23,22,85,60,43,1007,1005,1001,10,8,6,3,3,,0.00,,,-1<br />
2013-6-2,36,29,27,25,24,24,70,56,42,1005,1004,1004,8,8,6,2,2,,0.00,,,-1<br />
2013-6-3,38,31,26,24,24,23,78,60,42,1004,1003,1001,19,11,6,3,2,,0.00,,,-1<br />
2013-6-4,36,30,27,25,24,23,73,63,53,1005,1004,1002,10,8,5,3,2,,0.00,,Thunderstorm,-1<br />
2013-6-5,34,29,26,26,25,24,80,68,53,1006,1005,1003,10,8,5,6,2,,0.00,,,-1<br />
2013-6-6,34,29,25,25,24,24,89,68,48,1006,1005,1002,10,8,5,3,2,,0.00,,,-1<br />
2013-6-7,35,29,25,26,25,24,89,71,54,1006,1004,1001,10,8,5,6,3,,0.00,,,-1<br />
2013-6-8,34,30,27,25,24,24,78,64,51,1005,1003,1000,8,7,5,6,3,,0.00,,,-1<br />
2013-6-9,29,29,26,25,24,24,78,74,70,1003,1003,1002,8,6,5,2,2,,0.00,,,-1<br />
2013-6-10,36,30,26,26,24,24,78,59,46,1001,999,997,8,8,6,3,2,,0.00,,,-1<br />
2013-6-11,32,27,23,26,23,22,100,75,55,1004,1003,1000,10,8,5,2,0,,0.00,8,Rain,-1<br />
2013-6-12,35,29,27,26,25,24,81,64,55,1003,1001,999,8,8,8,2,0,,0.00,,,-1<br />
2013-6-13,36,30,27,26,25,24,78,62,47,1003,1002,999,10,8,5,3,2,,0.00,,,-1<br />
2013-6-14,33,27,25,27,25,24,100,82,65,1004,1002,999,8,7,5,2,0,,0.00,8,Rain-Thunderstorm,-1<br />
2013-6-15,37,31,27,26,24,24,81,63,44,1002,1001,999,10,8,5,2,2,,0.00,,,-1<br />
2013-6-16,34,29,24,27,26,24,100,71,57,1004,1001,999,8,7,5,2,2,,0.00,,,-1<br />
2013-6-17,36,29,27,27,26,24,89,68,46,1003,1001,997,10,8,5,3,0,,0.00,,,-1<br />
2013-6-18,36,31,28,27,26,24,77,61,44,1000,999,995,10,8,5,2,0,,0.00,,,-1<br />
2013-6-19,37,32,28,26,25,24,70,60,44,999,999,997,10,8,5,3,2,,0.00,,,-1<br />
2013-6-20,32,28,25,27,26,25,100,77,57,1001,1000,998,8,7,5,2,0,,0.00,8,Rain-Thunderstorm,-1<br />
2013-6-21,35,29,26,26,25,24,78,66,57,1001,1000,998,10,8,5,2,0,,0.00,,,-1<br />
2013-6-22,34,29,27,27,26,24,78,68,57,1002,1001,998,8,7,5,3,2,,0.00,,,-1<br />
2013-6-23,36,30,27,25,24,24,78,61,44,1001,1000,996,10,8,5,2,2,,0.00,,,-1<br />
2013-6-24,35,30,27,26,25,25,81,67,57,1002,1002,1000,8,8,6,3,3,,0.00,,,-1<br />
2013-6-25,34,29,26,24,24,23,78,65,52,1006,1005,1004,10,8,5,3,3,,0.00,,,-1<br />
2013-6-26,34,29,26,25,24,24,89,66,53,1006,1005,1002,10,9,8,3,3,,0.00,,,-1<br />
2013-6-27,34,29,25,26,24,23,78,66,57,1006,1004,1001,10,8,5,6,5,,0.00,,,-1<br />
2013-6-28,33,28,26,25,24,23,77,66,59,1005,1004,1001,8,7,5,6,3,,0.00,8,,-1<br />
2013-6-29,35,30,26,26,24,23,71,60,46,1003,1002,1000,10,8,5,10,5,,0.00,,,-1<br />
2013-6-30,34,30,26,26,24,23,70,61,54,1004,1003,1000,8,7,5,6,5,,0.00,,,-1<br />
2013-7-1,36,31,27,26,24,23,84,62,44,1003,1001,999,10,8,5,6,3,,0.00,,,-1<br />
2013-7-2,35,30,27,27,26,25,98,70,54,1002,1001,999,10,8,5,3,2,,0.00,8,,-1<br />
2013-7-3,36,30,27,25,24,23,78,60,47,1003,1002,999,10,8,5,8,3,,0.00,,,-1<br />
2013-7-4,36,30,27,26,25,24,78,65,52,1003,1002,999,8,7,5,3,3,,0.00,,,-1<br />
2013-7-5,35,30,27,25,24,23,68,56,42,1004,1002,1000,10,8,5,3,3,,0.00,,,-1<br />
2013-7-6,36,31,27,24,23,22,70,54,42,1006,1004,1001,8,7,5,3,2,,0.00,,,-1<br />
2013-7-7,38,31,27,26,24,23,70,55,43,1005,1004,1000,10,8,5,3,3,,0.00,,,-1<br />
2013-7-8,36,31,27,26,24,23,70,59,46,1004,1003,1001,8,7,5,8,3,,0.00,,,-1<br />
2013-7-9,34,30,27,24,24,23,70,58,52,1004,1002,999,10,9,8,8,6,,0.00,,,-1<br />
2013-7-10,37,30,27,26,24,24,78,63,47,1002,1001,999,8,7,5,6,3,,0.00,,,-1<br />
2013-7-11,36,31,26,25,24,24,81,70,43,1005,1004,1002,10,9,8,8,3,,0.00,8,Rain,-1<br />
2013-7-12,32,30,27,26,23,22,70,58,44,1008,1005,1003,8,8,6,3,3,,0.00,8,,-1<br />
2013-7-13,35,31,26,25,24,23,78,61,43,1006,1004,1002,10,8,5,6,3,,0.00,,,-1<br />
2013-7-14,39,32,27,26,24,22,68,53,38,1002,1001,997,10,8,5,6,3,,0.00,,,-1<br />
2013-7-15,33,29,26,26,25,24,88,70,53,1004,1002,999,10,8,5,3,2,,0.00,,Rain,-1<br />
2013-7-16,36,31,27,26,24,24,81,60,41,1005,1003,1001,8,8,5,6,3,,0.00,,,-1<br />
2013-7-17,36,31,27,24,24,24,78,58,43,1005,1003,1000,10,8,5,18,8,,0.00,,,-1<br />
2013-7-18,36,30,26,25,24,24,78,64,51,1003,1001,999,10,8,5,8,5,,0.00,,,-1<br />
2013-7-19,37,27,24,25,24,23,90,70,43,1002,1001,999,10,8,5,3,3,,0.00,,,-1<br />
2013-7-20,35,30,27,24,24,23,70,57,47,1004,1003,1000,8,8,6,6,3,,0.00,,,-1<br />
2013-7-21,37,27,25,24,23,23,90,68,41,1002,1000,996,10,8,5,6,3,,0.00,,,-1<br />
2013-7-22,37,31,27,26,26,24,89,67,46,1002,1001,998,10,8,5,2,0,,0.00,8,Rain,-1<br />
2013-7-23,37,30,27,26,25,24,81,63,53,1002,1001,999,10,8,6,2,2,,0.00,8,,-1<br />
2013-7-24,37,30,27,27,26,26,89,71,59,1003,1002,999,8,7,5,2,0,,0.00,,,-1<br />
2013-7-25,36,30,27,24,23,23,68,62,48,1003,1001,999,10,8,6,13,6,,0.00,,,-1<br />
2013-7-26,34,29,26,27,24,23,78,66,52,1002,1002,1002,8,8,6,8,5,,0.00,,,-1<br />
2013-7-27,34,29,27,25,24,24,78,66,53,1005,1003,1002,10,8,5,10,5,,0.00,,,-1<br />
2013-7-28,36,30,27,25,24,23,78,61,46,1004,1003,1000,8,7,5,6,5,,0.00,,,-1<br />
2013-7-29,33,29,26,25,24,23,89,68,52,1002,1001,999,10,8,5,3,3,,0.00,,,-1<br />
2013-7-30,29,27,26,26,25,23,99,83,76,1001,1000,998,8,7,5,2,2,,0.00,,Rain,-1<br />
2013-7-31,33,28,25,24,24,23,89,72,52,1002,1001,1000,10,8,5,3,2,,0.00,8,Rain,-1<br />
2013-8-1,35,29,27,25,24,23,78,65,52,1003,1002,1000,8,7,5,2,2,,0.00,,,-1<br />
2013-8-2,35,30,26,25,24,24,81,65,48,1004,1003,1001,10,8,5,2,2,,0.00,,,-1<br />
2013-8-3,36,29,26,26,24,23,89,66,52,1004,1003,1000,10,8,5,2,0,,0.00,,,-1<br />
2013-8-4,30,29,26,26,24,23,100,78,63,1006,1004,1003,8,6,5,3,2,,0.00,8,Rain,-1<br />
2013-8-5,35,29,26,23,23,23,77,60,49,1009,1007,1004,8,8,8,3,3,,0.00,,,-1<br />
2013-8-6,34,30,26,25,24,23,78,62,47,1007,1006,1003,10,8,5,3,3,,0.00,,,-1<br />
2013-8-7,36,29,27,26,24,23,70,65,59,1006,1005,1003,8,7,5,2,2,,0.00,8,Rain,-1<br />
2013-8-8,35,30,26,25,24,24,78,61,46,1005,1004,1001,10,7,5,2,2,,0.00,,,-1<br />
2013-8-9,26,27,24,26,24,23,100,89,68,1005,1004,1002,6,6,5,150,69,,0.00,8,Rain,-1<br />
2013-8-10,26,24,23,25,24,24,100,99,98,1007,1005,1003,6,6,5,2,0,,0.00,8,Rain,-1<br />
2013-8-11,31,24,23,26,24,24,100,88,68,1006,1006,1006,8,7,5,3,0,,0.00,,,-1<br />
2013-8-12,34,30,28,26,25,24,78,69,57,1006,1005,1003,10,8,5,3,2,,0.00,8,Rain,-1<br />
2013-8-13,32,26,26,25,24,24,81,77,73,1004,1003,1002,8,8,8,0,0,,0.00,8,Rain,-1<br />
2013-8-14,33,28,26,26,25,25,92,77,65,1005,1004,1002,10,7,5,2,0,,0.00,,,-1<br />
2013-8-15,34,29,25,25,24,24,89,69,53,1005,1004,1002,10,8,5,2,2,,0.00,,,-1<br />
2013-8-16,34,29,26,24,23,23,77,64,52,1005,1004,1002,10,8,5,3,3,,0.00,,,-1<br />
2013-8-17,33,27,26,24,23,22,72,66,57,1005,1003,1000,8,7,5,3,2,,0.00,,,-1<br />
2013-8-18,33,28,26,25,24,23,86,69,60,1004,1003,1001,10,8,5,2,2,,0.00,,,-1<br />
2013-8-19,34,30,27,28,26,24,98,74,47,1004,1003,1001,10,8,6,2,0,,0.00,8,Rain-Thunderstorm,-1<br />
2013-8-20,33,29,26,24,23,23,78,67,57,1004,1003,1000,10,8,5,3,2,,0.00,,,-1<br />
2013-8-21,33,29,26,26,24,23,78,72,65,1004,1003,1000,10,8,6,2,2,,0.00,,,-1<br />
2013-8-22,35,28,28,24,24,24,78,66,53,1004,1001,999,10,7,5,2,2,,0.00,,,-1<br />
2013-8-23,35,29,26,26,24,23,88,66,53,1003,1002,1000,10,8,6,2,2,,0.00,8,Rain,-1<br />
2013-8-24,33,31,29,25,24,23,61,58,57,1004,1002,1000,10,9,6,3,2,,0.00,,,-1<br />
