
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-6-16,32,28,23,24,22,20,89,72,49,1019,1017,1016,10,8,7,21,11,,0.00,5,Rain-Thunderstorm,112<br />
2000-6-17,32,27,23,23,22,21,88,71,55,1021,1019,1017,10,9,8,26,14,,0.00,2,,97<br />
2000-6-18,31,27,22,24,22,19,83,70,58,1022,1021,1020,9,8,4,32,11,60,0.00,4,Rain-Thunderstorm,102<br />
2000-6-19,31,26,22,25,22,18,94,73,54,1023,1022,1020,9,8,8,16,8,,0.00,4,Thunderstorm,99<br />
2000-6-20,32,27,23,23,21,18,88,74,55,1021,1020,1019,10,9,9,19,6,,0.00,2,,80<br />
2000-6-21,30,26,21,22,21,19,94,82,55,1021,1019,1017,9,9,8,19,5,,0.00,2,Thunderstorm,121<br />
2000-6-22,31,26,21,22,20,18,94,73,49,1020,1019,1017,9,9,8,19,5,,0.00,1,,59<br />
2000-6-23,32,27,23,23,21,18,83,68,43,1020,1018,1017,9,9,8,21,6,,0.00,2,,79<br />
2000-6-24,24,22,20,20,19,19,94,87,73,1021,1020,1018,9,7,3,19,8,,0.00,2,Rain,167<br />
2000-6-25,32,26,20,22,21,18,94,76,52,1019,1019,1018,10,9,0,14,3,,0.00,2,Rain-Thunderstorm,120<br />
2000-6-26,29,26,22,23,22,21,94,81,70,1018,1017,1016,9,8,3,19,8,,0.00,5,Rain-Thunderstorm,68<br />
2000-6-27,32,26,21,23,21,20,94,77,49,1019,1018,1017,10,9,9,14,3,,0.00,2,,131<br />
2000-6-28,31,26,21,24,22,19,94,76,55,1020,1019,1017,10,9,7,21,10,,0.00,2,Rain-Thunderstorm,106<br />
2000-6-29,32,27,22,24,22,19,89,75,55,1020,1019,1017,9,9,8,16,8,,0.00,1,,126<br />
2000-6-30,32,27,23,24,23,21,100,79,52,1019,1018,1017,8,7,5,19,5,,0.00,1,,39<br />
2000-7-1,31,27,24,23,22,21,89,73,58,1019,1018,1017,9,8,8,14,5,,0.00,1,,12<br />
2000-7-2,31,26,21,24,21,14,94,74,40,1018,1017,1016,9,9,8,16,5,,0.00,2,,17<br />
2000-7-3,32,27,23,23,22,21,88,72,52,1019,1017,1016,10,8,3,23,6,,0.00,2,Rain-Thunderstorm,105<br />
2000-7-4,31,26,22,24,22,20,94,84,55,1018,1017,1017,9,9,7,14,3,,0.00,1,,73<br />
2000-7-5,25,22,21,22,22,20,94,90,78,1018,1017,1016,9,9,8,3,2,,0.00,1,,137<br />
2000-7-6,32,29,26,23,22,21,74,63,55,1016,1015,1013,10,10,9,26,11,,0.00,2,,64<br />
2000-7-7,32,28,24,23,22,20,94,69,49,1017,1016,1016,10,8,0,19,8,,0.00,4,Rain-Thunderstorm,152<br />
2000-7-8,29,29,26,23,22,22,83,74,66,1019,1018,1018,9,9,9,11,10,,0.00,1,,70<br />
2000-7-9,28,26,23,23,22,20,94,86,70,1019,1017,1016,9,8,5,14,5,,0.00,1,,161<br />
2000-7-10,30,26,21,23,21,19,88,76,58,1019,1018,1017,10,10,9,19,10,,0.00,1,,109<br />
2000-7-11,33,30,27,22,21,19,74,59,46,1018,1017,1016,10,9,8,21,8,,0.00,3,,20<br />
2000-7-12,34,29,24,24,22,19,94,69,49,1019,1017,1016,9,9,7,16,6,,0.00,1,Thunderstorm,67<br />
2000-7-13,31,26,22,22,21,20,94,72,55,1019,1018,1017,10,9,8,13,5,,0.00,1,,110<br />
2000-7-14,31,26,21,24,21,19,94,79,55,1019,1017,1015,9,9,8,16,3,,0.00,1,,74<br />
2000-7-15,27,24,23,25,23,21,89,89,88,1015,1015,1015,9,6,2,24,5,,0.00,3,Rain-Thunderstorm,260<br />
2000-7-16,32,24,17,23,20,15,94,74,55,1019,1017,1015,9,8,6,14,8,,0.00,3,Rain-Thunderstorm,219<br />
2000-7-17,32,27,22,25,23,21,100,71,58,1021,1020,1018,9,9,9,24,10,,0.00,2,,89<br />
2000-7-18,33,27,21,24,22,19,94,79,59,1021,1020,1018,10,9,7,14,3,,0.00,1,,69<br />
2000-7-19,29,22,21,23,21,20,100,90,70,1020,1019,1018,9,9,9,3,2,,0.00,1,,157<br />
2000-7-21,33,28,24,23,21,19,83,65,43,1018,1016,1014,10,10,9,14,6,,0.00,2,,100<br />
2000-7-22,33,27,21,23,22,20,94,78,52,1020,1018,1016,9,9,9,13,3,,0.00,1,Thunderstorm,87<br />
2000-7-23,26,23,21,22,21,20,94,86,74,1018,1018,1018,9,9,9,6,3,,0.00,2,,260<br />
2000-7-25,34,30,27,25,22,20,84,63,44,1017,1016,1015,10,9,9,16,10,,0.00,2,,50<br />
2000-7-26,31,27,23,24,22,21,89,81,55,1018,1017,1015,9,9,9,16,3,,0.00,2,,119<br />
2000-7-27,26,24,23,23,22,21,94,90,83,1018,1017,1016,9,9,9,0,0,,0.00,1,,-1<br />
2000-7-28,32,29,24,24,22,20,83,65,52,1016,1015,1014,10,10,8,19,8,,0.00,2,,57<br />
2000-7-29,29,26,22,23,22,20,94,81,66,1019,1017,1016,9,8,7,14,6,,0.00,5,Rain-Thunderstorm,219<br />
2000-7-30,32,27,23,23,21,19,83,71,46,1018,1017,1016,9,9,8,13,6,,0.00,2,,97<br />
2000-7-31,31,26,22,23,21,20,100,81,52,1019,1017,1016,10,9,8,26,3,,0.00,1,,114<br />
2000-8-1,34,32,20,21,20,18,88,60,44,1018,1017,1016,9,9,9,21,10,,0.00,5,Thunderstorm,98<br />
2000-8-2,32,26,21,24,22,20,94,69,55,1019,1017,1016,9,9,7,16,10,,0.00,3,Rain-Thunderstorm,99<br />
2000-8-3,32,27,23,24,22,21,94,79,55,1019,1018,1017,9,9,7,14,6,,0.00,2,Rain-Thunderstorm,129<br />
2000-8-4,32,27,23,24,22,21,94,81,55,1019,1018,1017,9,9,7,21,8,,0.00,2,Thunderstorm,122<br />
2000-8-5,30,27,24,25,23,22,89,79,70,1018,1017,1016,8,8,7,21,6,,0.00,3,,60<br />
