
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-3-9,30,26,22,24,22,21,100,81,62,1013,1011,1009,10,10,10,19,8,,0.00,2,,113<br />
2001-3-10,32,27,22,24,22,21,100,81,58,1011,1009,1007,10,8,1,14,8,,0.00,4,,103<br />
2001-3-11,31,26,22,23,21,19,94,76,52,1016,1013,1010,10,10,10,19,6,,0.00,3,,129<br />
2001-3-12,30,26,22,25,21,19,94,78,51,1018,1016,1015,10,10,8,24,11,,0.00,3,Rain,122<br />
2001-3-13,35,29,24,24,21,15,100,73,30,1016,1014,1012,10,10,10,19,10,,0.00,4,,107<br />
2001-3-14,32,27,23,25,21,18,94,77,43,1014,1012,1010,10,9,1,11,5,,0.00,5,,109<br />
2001-3-15,,,,,,,,,,1017,1014,1011,10,7,1,16,6,,0.00,7,Rain-Thunderstorm,79<br />
2001-3-16,,,,,,,,,,1017,1015,1013,10,10,10,26,6,,0.00,5,,111<br />
2001-3-17,,,,,,,,,,1016,1014,1011,10,10,10,26,11,,0.00,4,,105<br />
2001-3-18,,,,,,,,,,1012,1008,1006,10,10,10,23,11,,0.00,4,,8<br />
2001-3-19,,,,,,,,,,1013,1010,1007,10,10,10,23,13,40,0.00,5,Rain,200<br />
2001-3-20,,,,,,,,,,1017,1016,1013,10,10,10,27,16,,0.00,4,,113<br />
2001-3-21,,,,,,,,,,1017,1013,1010,10,10,9,26,16,,0.00,6,Rain,106<br />
2001-3-22,,,,,,,,,,1011,1008,1004,10,9,5,23,8,,0.00,5,Rain,338<br />
2001-3-23,,,,,,,,,,1010,1007,1004,10,10,10,37,11,,0.00,5,,305<br />
2001-3-24,,,,,,,,,,1014,1012,1010,10,9,4,19,10,,0.00,7,Rain,91<br />
2001-3-25,,,,,,,,,,1015,1012,1008,10,9,1,47,10,74,0.00,6,Rain-Thunderstorm,93<br />
2001-3-26,,,,,,,,,,1013,1011,1007,10,10,8,37,16,,0.00,6,Rain,293<br />
2001-3-27,,,,,,,,,,1015,1013,1012,10,10,10,23,8,,0.00,2,,282<br />
2001-3-28,,,,,,,,,,1016,1014,1013,10,10,8,19,5,,0.00,2,,295<br />
2001-3-29,,,,,,,,,,1018,1017,1015,10,10,10,23,5,,0.00,2,,287<br />
2001-3-30,,,,,,,,,,1019,1017,1015,10,10,10,13,6,,0.00,2,,222<br />
2001-3-31,,,,,,,,,,1016,1014,1011,10,7,0,32,8,58,0.00,5,Fog-Rain-Thunderstorm,85<br />
2001-4-1,,,,,,,,,,1014,1013,1011,10,9,3,37,8,66,0.00,6,Rain-Thunderstorm,113<br />
2001-4-2,,,,,,,,,,1018,1016,1014,10,10,5,19,8,,0.00,5,Rain-Thunderstorm,219<br />
2001-4-3,,,,,,,,,,1020,1018,1017,10,9,4,14,6,,0.00,3,,144<br />
2001-4-4,,,,,,,,,,1019,1017,1016,10,10,10,23,8,,0.00,5,,127<br />
2001-4-5,,,,,,,,,,1016,1014,1010,10,10,9,37,11,63,0.00,5,Rain-Thunderstorm,103<br />
2001-4-6,,,,,,,,,,1022,1017,1014,10,9,4,14,8,,0.00,7,Rain,205<br />
2001-4-7,,,,,,,,,,1022,1021,1019,10,10,10,29,14,,0.00,4,,113<br />
2001-4-8,,,,,,,,,,1020,1017,1015,10,9,8,11,8,,0.00,7,Rain,70<br />
2001-4-9,,,,,,,,,,1014,1009,1005,10,8,0,27,8,74,0.00,7,Rain-Thunderstorm,290<br />
2001-4-10,31,,31,22,22,22,58,58,58,1014,1011,1008,10,10,10,29,13,,0.00,5,,286<br />
2001-4-11,,,,,,,,,,1018,1016,1014,10,7,0,13,3,,0.00,2,Fog,109<br />
2001-4-12,,,,,,,,,,1019,1017,1016,10,9,4,19,8,,0.00,6,Rain,73<br />
2001-4-13,,,,,,,,,,1019,1017,1016,10,8,0,24,6,,0.00,4,Fog,106<br />
2001-4-14,,,,,,,,,,1017,1015,1014,10,9,5,16,11,,0.00,6,,97<br />
2001-4-15,,,,,,,,,,1023,1019,1015,10,10,10,26,6,,0.00,6,,182<br />
2001-4-16,,,,,,,,,,1025,1023,1012,10,10,10,26,13,,0.00,3,,118<br />
2001-4-17,,,,,,,,,,1023,1021,1018,10,10,10,16,10,,0.00,3,,87<br />
2001-4-18,,,,,,,,,,1018,1014,1011,9,5,3,16,6,,0.00,1,,67<br />
2001-4-19,,,,,,,,,,1012,1009,1006,10,10,10,39,8,,0.00,3,,299<br />
2001-4-20,,,,,,,,,,1013,1010,1008,10,9,2,27,8,47,0.00,6,Rain-Thunderstorm,279<br />
2001-4-21,,,,,,,,,,1014,1013,1011,10,3,0,24,6,,0.00,6,Fog,301<br />
2001-4-22,,,,,,,,,,1013,1009,1006,10,10,10,23,5,,0.00,1,,108<br />
2001-4-23,,,,,,,,,,1011,1006,1003,10,9,5,27,6,48,0.00,5,Rain-Thunderstorm,29<br />
2001-4-24,,,,,,,,,,1025,1018,1011,10,8,3,39,14,,0.00,8,Rain-Thunderstorm,172<br />
2001-4-25,,,,,,,,,,1025,1021,1017,10,9,4,26,13,,0.00,8,Rain,120<br />
2001-4-26,,,,,,,,,,1018,1015,1010,10,6,3,13,5,,0.00,7,Rain,291<br />
2001-4-27,,,,,,,,,,1014,1013,1010,10,5,1,13,5,,0.00,7,Rain,81<br />
2001-4-28,,,,,,,,,,1022,1015,1012,10,8,1,24,6,,0.00,6,Fog-Rain,135<br />
2001-4-29,,,,,,,,,,1026,1023,1014,10,7,3,23,11,,0.00,8,Rain,130<br />
2001-4-30,,,,,,,,,,1024,1019,1015,10,10,9,24,14,,0.00,6,Rain,107<br />
2001-5-1,,,,,,,,,,1016,1013,1010,10,10,10,23,8,,0.00,5,,119<br />
2001-5-2,,,,,,,,,,1020,1016,1011,10,10,8,27,13,,0.00,6,Rain-Thunderstorm,271<br />
2001-5-3,,,,,,,,,,1022,1020,1019,10,10,8,14,6,,0.00,6,Rain,231<br />
2001-5-4,,,,,,,,,,1020,1018,1017,10,10,9,26,13,,0.00,6,Rain,267<br />
2001-5-5,,,,,,,,,,1020,1017,1015,10,8,2,35,23,,0.00,7,Rain,273<br />
2001-5-6,,,,,,,,,,1022,1021,1019,10,10,10,23,11,,0.00,4,,215<br />
2001-5-7,,,,,,,,,,1022,1021,1019,10,8,0,14,6,,0.00,5,Fog,177<br />
2001-5-8,,,,,,,,,,1020,1016,1013,10,7,0,19,5,,0.00,4,Fog-Rain,107<br />
2001-5-9,,,,,,,,,,1013,1012,1010,10,9,4,47,14,60,0.00,5,Rain,295<br />
2001-5-10,,,,,,,,,,1015,1013,1012,10,10,10,21,11,,0.00,6,,279<br />
2001-5-11,,,,,,,,,,1018,1016,1015,10,10,10,26,13,,0.00,3,,276<br />
2001-5-12,,,,,,,,,,1021,1019,1018,10,10,10,29,13,,0.00,4,,293<br />
2001-5-13,,,,,,,,,,1026,1023,1021,10,10,10,26,8,,0.00,5,,261<br />
2001-5-14,,,,,,,,,,1027,1025,1023,10,10,5,19,8,,0.00,2,,252<br />
2001-5-15,,,,,,,,,,1024,1021,1018,10,7,0,37,10,,0.00,6,Fog,104<br />
2001-5-16,,,,,,,,,,1018,1015,1012,10,9,3,24,16,,0.00,7,Rain,110<br />
2001-5-17,,,,,,,,,,1016,1013,1010,10,8,1,37,19,,0.00,8,Fog-Rain,285<br />
2001-5-18,,,,,,,,,,1021,1019,1016,10,7,2,29,19,,0.00,6,Rain,282<br />
2001-5-19,24,,24,15,15,15,57,57,57,1023,1020,1019,10,5,0,16,6,,0.00,4,Fog,121<br />
2001-5-20,,,,,,,,,,1020,1019,1018,10,6,0,14,5,,0.00,6,Fog-Rain,100<br />
2001-5-21,19,,19,19,19,19,100,100,100,1019,1014,1010,10,8,3,24,5,,0.00,5,Fog-Rain-Thunderstorm,177<br />
2001-5-22,,,,,,,,,,1015,1011,1006,10,10,10,26,14,55,0.00,4,,276<br />
2001-5-23,21,,21,17,17,17,78,78,78,1024,1020,1015,10,10,10,14,5,,0.00,4,,142<br />
2001-5-24,,,,,,,,,,1026,1024,1022,10,8,4,27,10,,0.00,4,,102<br />
2001-5-25,19,,19,17,17,17,88,88,88,1023,1021,1019,10,10,8,19,11,,0.00,1,,92<br />
2001-5-26,18,18,18,18,17,17,100,96,94,1019,1017,1014,8,8,8,11,5,,0.00,6,,94<br />
2001-5-27,,,,,,,,,,1016,1015,1013,10,5,0,13,5,,0.00,7,Fog-Rain,105<br />
2001-5-28,,,,,,,,,,1014,1013,1011,10,8,5,201,16,,0.00,5,Rain,113<br />
