
NPT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-4-14,25,19,12,15,13,11,100,76,45,1024,1021,1017,7,5,1,8,3,,0.00,6,Rain,205<br />
2015-4-15,25,19,13,19,14,11,94,81,53,1023,1021,1020,8,5,1,14,2,,1.02,6,Rain-Thunderstorm,196<br />
2015-4-16,28,20,12,15,13,12,100,74,41,1024,1021,1018,8,6,3,19,3,,0.00,5,Rain-Thunderstorm,175<br />
2015-4-17,24,19,13,17,13,12,95,82,57,1020,1016,1013,10,6,3,19,3,,0.00,5,Rain-Thunderstorm,132<br />
2015-4-18,26,19,13,16,13,12,100,76,45,1013,1012,1008,10,6,2,16,5,,1.02,5,Rain-Thunderstorm,212<br />
2015-4-19,28,21,13,19,15,12,100,75,48,1018,1014,1012,8,6,1,19,5,,0.00,2,,214<br />
2015-4-20,29,23,17,19,17,16,94,75,50,1019,1017,1014,8,6,3,24,5,,0.00,3,,206<br />
2015-4-21,29,23,16,18,16,13,91,70,35,1016,1014,1012,10,6,3,23,6,45,0.00,4,Rain-Thunderstorm,329<br />
2015-4-22,28,21,14,18,13,9,100,69,40,1015,1013,1010,10,6,4,32,6,50,0.25,3,Thunderstorm,233<br />
2015-4-23,29,20,11,14,12,4,88,61,21,1016,1014,1012,10,7,3,24,3,,0.00,1,,218<br />
2015-4-24,27,20,13,16,12,10,88,67,43,1019,1016,1014,8,6,4,19,6,,0.00,3,Rain-Thunderstorm,132<br />
2015-4-25,20,17,13,14,12,11,89,70,53,1020,1018,1017,8,7,6,23,13,,0.00,6,Thunderstorm,120<br />
2015-4-26,23,18,14,13,12,11,94,69,53,1019,1017,1016,10,8,5,23,11,,0.00,6,Rain,189<br />
2015-4-27,26,19,13,15,13,11,100,71,44,1021,1018,1016,10,9,6,11,5,,0.00,3,Rain,97<br />
2015-4-28,23,19,14,16,14,13,94,82,60,1019,1016,1013,10,7,3,16,5,,3.05,5,Rain-Thunderstorm,119<br />
2015-4-29,24,18,11,15,13,12,100,79,50,1017,1015,1013,8,7,5,23,5,,0.00,4,Rain,127<br />
2015-4-30,24,19,14,20,15,14,100,80,60,1019,1016,1014,10,7,3,10,5,,0.00,5,Rain,164<br />
2015-5-1,29,21,13,18,15,11,100,72,34,1018,1015,1012,10,7,4,19,5,,0.00,2,,271<br />
2015-5-2,29,22,16,17,14,11,94,67,38,1017,1015,1012,10,8,6,24,5,47,0.00,2,Thunderstorm,263<br />
2015-5-3,29,21,12,14,12,10,86,57,29,1018,1016,1013,10,8,6,19,6,,0.00,1,,198<br />
2015-5-4,31,21,12,15,11,7,97,53,28,1018,1016,1014,10,9,6,23,3,,0.00,1,,256<br />
2015-5-5,31,22,13,16,11,8,82,53,32,1017,1015,1013,10,9,6,13,5,,0.00,2,,215<br />
2015-5-6,30,22,13,16,12,10,83,53,25,1016,1014,1012,10,8,5,14,5,,0.00,2,,278<br />
2015-5-7,31,23,17,19,16,14,88,69,38,1016,1015,1013,7,6,3,23,5,,0.00,4,Rain-Thunderstorm,118<br />
2015-5-8,28,22,16,19,17,15,94,74,47,1016,1014,1012,8,5,3,23,8,,0.00,5,Rain-Thunderstorm,184<br />
2015-5-9,26,22,18,20,18,15,94,82,61,1015,1014,1012,7,5,3,13,6,,0.00,5,Rain-Thunderstorm,191<br />
2015-5-10,29,22,15,19,18,15,100,78,47,1016,1014,1011,11,6,3,26,6,,0.00,5,Rain-Thunderstorm,221<br />
