
WIB,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-5-27,33,29,24,26,24,23,90,78,57,1011,1009,1006,8,5,2,19,6,,2.03,2,Rain-Thunderstorm,272<br />
2014-5-28,31,28,24,25,24,24,96,81,62,1012,1009,1007,10,6,2,21,10,,0.00,3,Rain-Thunderstorm,72<br />
2014-5-29,32,29,25,25,24,23,94,76,54,1010,1009,1007,10,8,3,32,13,,0.00,1,,95<br />
2014-5-30,33,29,25,25,24,22,91,74,50,1011,1009,1006,10,6,2,24,8,,0.00,2,Thunderstorm,135<br />
2014-5-31,33,29,24,25,24,23,89,74,49,1010,1008,1005,9,5,2,14,6,,0.00,3,Thunderstorm,294<br />
2014-6-1,33,29,24,24,23,22,89,69,47,1010,1008,1006,10,6,3,23,8,,0.00,2,Thunderstorm,70<br />
2014-6-2,32,28,24,25,23,22,84,71,53,1010,1008,1005,10,7,3,21,10,,0.00,1,,78<br />
2014-6-3,32,28,24,25,24,23,90,75,53,1009,1007,1005,10,7,3,23,10,,0.00,2,,81<br />
2014-6-4,33,29,24,26,24,23,89,75,53,1008,1006,1004,8,6,2,29,10,35,0.00,2,Thunderstorm,88<br />
2014-6-5,31,28,25,26,24,23,94,83,70,1009,1007,1005,7,4,1,29,8,,9.91,4,Rain-Thunderstorm,236<br />
2014-6-6,32,28,24,26,24,24,95,80,62,1009,1007,1005,8,5,1,19,8,,0.00,2,,108<br />
2014-6-7,32,28,24,25,24,23,95,76,53,1009,1007,1004,10,5,1,19,10,,0.00,1,,92<br />
2014-6-8,32,28,24,25,24,23,95,74,50,1008,1006,1004,11,7,2,23,10,,0.00,1,,70<br />
2014-6-9,33,27,22,26,24,23,94,76,54,1007,1006,1004,10,6,2,24,8,34,0.00,2,Thunderstorm,77<br />
2014-6-10,33,29,25,26,24,23,94,77,53,1009,1007,1004,10,5,2,24,10,,14.99,3,Rain-Thunderstorm,120<br />
2014-6-11,33,29,25,25,24,23,94,77,54,1009,1007,1004,10,5,2,14,5,,1.02,2,Rain-Thunderstorm,268<br />
2014-6-12,34,29,24,26,25,23,97,78,53,1009,1006,1003,10,5,0,16,6,,9.91,3,Rain-Thunderstorm,110<br />
2014-6-13,32,28,24,26,24,23,96,82,65,1009,1007,1005,10,6,3,16,6,,9.91,3,Rain-Thunderstorm,231<br />
2014-6-14,32,28,23,26,24,23,97,80,59,1011,1009,1007,10,6,3,19,8,,16.00,4,Rain-Thunderstorm,110<br />
2014-6-15,27,26,24,25,24,23,95,91,83,1012,1010,1008,10,5,2,24,10,37,5.08,5,Rain-Thunderstorm,174<br />
2014-6-16,32,28,23,25,24,23,96,79,54,1010,1009,1006,10,6,2,13,6,,0.00,3,Rain-Thunderstorm,234<br />
2014-6-17,31,28,24,25,24,23,94,81,65,1012,1009,1007,8,6,4,13,8,,0.00,3,Rain-Thunderstorm,77<br />
2014-6-18,32,28,24,26,24,23,94,77,59,1011,1010,1007,10,7,4,21,10,34,0.00,2,Thunderstorm,95<br />
2014-6-19,31,28,24,25,23,22,89,75,58,1012,1010,1008,10,7,5,19,10,,0.00,3,Rain-Thunderstorm,153<br />
2014-6-20,32,28,24,25,24,23,89,74,55,1012,1010,1007,10,7,3,24,10,,0.00,2,,106<br />
2014-6-21,33,29,24,25,24,22,91,79,56,1014,1011,1009,8,5,2,21,8,,2.03,3,Rain-Thunderstorm,140<br />
2014-6-22,33,28,24,25,23,22,96,74,52,1013,1011,1008,10,7,3,19,8,,0.00,1,,260<br />
2014-6-23,32,28,24,25,24,22,92,76,52,1012,1010,1007,10,7,3,16,8,,0.00,2,Thunderstorm,100<br />
2014-6-24,32,28,25,25,24,23,89,78,61,1011,1010,1007,10,6,1,24,11,,0.00,3,Thunderstorm,120<br />
