date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm h,Mean Wind SpeedKm h,Max Gust SpeedKm h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-4-8,16,10,3,4,2,0,81,56,29,1035,1032,1029,26,10,6,14,10,,0,1,,52
2015-4-9,20,12,4,5,3,1,81,50,18,1029,1026,1023,26,11,5,14,10,,0,,,57
2015-4-10,22,14,7,7,3,1,66,44,16,1024,1019,1016,31,20,14,26,13,40,0,8,,140
2015-4-11,15,12,10,10,8,6,88,71,40,1029,1022,1018,26,14,8,35,23,50,3,6,Rain,239
2015-4-12,19,11,3,9,7,3,98,70,35,1031,1029,1027,31,13,0,21,10,37,0,5,Fog,232
2015-4-13,20,14,8,9,7,3,82,61,38,1033,1031,1029,31,21,10,13,6,,0,3,,345
2015-4-14,25,18,10,9,7,4,82,50,18,1031,1028,1023,31,24,19,13,8,,0,,,165
2015-4-15,27,19,11,8,6,4,72,44,14,1023,1018,1014,31,31,31,23,8,,0,,,108
2015-4-16,23,17,11,11,7,4,72,46,21,1015,1012,1010,31,30,19,14,8,,0,8,,89
2015-4-17,18,14,12,10,7,2,88,59,37,1019,1014,1011,31,14,5,27,11,,0,6,Rain,27
2015-4-18,16,11,6,3,1,-2,76,48,18,1024,1022,1020,31,24,14,37,24,,0,,,53
2015-4-19,17,11,4,4,1,-1,70,48,22,1022,1020,1017,31,29,26,24,19,45,0,,,34
2015-4-20,21,13,5,4,2,-1,81,47,13,1027,1024,1021,31,22,8,29,18,,0,,,33
2015-4-21,22,14,7,8,6,2,87,53,23,1030,1028,1027,31,14,6,23,16,40,0,,,26
2015-4-22,20,13,7,8,5,2,81,55,20,1029,1025,1021,31,17,8,29,21,48,0,,,28
2015-4-23,20,13,6,6,4,2,87,55,20,1022,1018,1015,31,12,5,19,13,,0,,,33
2015-4-24,21,14,8,12,8,3,72,57,36,1016,1013,1011,31,15,10,23,11,52,0,6,Rain,186
2015-4-25,18,14,11,12,11,9,94,74,49,1012,1009,1008,31,12,3,21,11,,4,6,Rain,224
2015-4-26,16,13,11,12,11,9,94,83,64,1010,1007,1003,31,12,3,14,10,,30,6,Rain,254
